Entrada,Termo Buscado,Termo Encontrado,Distância,Preço do Frete
Água Comprida,Água Comprida,Não encontradoErro: API offline ou bloqueio,---,---
Altos de Bragança,Altos de Bragança,Residencial Altos da Mantiqueira,2.89 km,"R$ 8,10"
Aparecida,Aparecida,Vila Aparecida,1.48 km,"R$ 5,40"
Arara dos Pereiras,Arara dos Pereiras,Não encontrado,---,---
Araras dos Mori,Araras dos Mori,Araras dos Mori,16.83 km,"R$ 45,90"
Área Rural de Bragança Paulista,Área Rural de Bragança Paulista,Não encontrado,---,---
Atibaianos,Atibaianos,Atibaianos,16.20 km,"R$ 45,90"
Bairro do Agudo,Bairro do Agudo,Não encontrado,---,---
Bairro do Menin,Bairro do Menin,Não encontrado,---,---
Bairro do Uberaba,Bairro do Uberaba,Não encontrado,---,---
Bairro Sete Barras,Bairro Sete Barras,Não encontrado,---,---
Biriça do Campinho,Biriça do Campinho,Não encontrado,---,---
Boa Vista,Boa Vista,Boa Vista,8.77 km,"R$ 24,30"
Boa Vista dos Silva,Boa Vista dos Silva,Não encontrado,---,---
Bom Retiro,Bom Retiro,Bom Retiro,7.28 km,"R$ 21,60"
Bom Retiro dos Mourão,Bom Retiro dos Mourão,Não encontrado,---,---
Bosques da Pedra,Bosques da Pedra,Não encontrado,---,---
Campinho,Campinho,Campinho Bela Vista,42.79 km,"R$ 116,10"
Campo Novo,Campo Novo,Campo Novo,8.73 km,"R$ 24,30"
Centro,Centro,Centro,0.51 km,"R$ 2,70"
Centro Industrial Rafael Diniz,Centro Industrial Rafael Diniz,Não encontrado,---,---
Chácara Alvorada,Chácara Alvorada,Não encontrado,---,---
Chácara Fernão Dias,Chácara Fernão Dias,Não encontrado,---,---
Chácara Julieta Cristina,Chácara Julieta Cristina,Não encontrado,---,---
Chácara Portal das Estâncias,Chácara Portal das Estâncias,Não encontrado,---,---
Chácaras Luzia Vicente,Chácaras Luzia Vicente,Não encontrado,---,---
Chácaras Santo André,Chácaras Santo André,Não encontrado,---,---
Chácaras São Conrado,Chácaras São Conrado,Chácaras de São Conrado,3.91 km,"R$ 10,80"
Chácaras São Felipe,Chácaras São Felipe,Não encontrado,---,---
Cidade Jardim,Cidade Jardim,Parque da Cidade,49.81 km,"R$ 135,00"
Cidade Planejada I,Cidade Planejada I,Não encontrado,---,---
Cidade Planejada II,Cidade Planejada II,Não encontrado,---,---
Cidade Universitária,Cidade Universitária,Não encontrado,---,---
Condomínio Berbari II,Condomínio Berbari II,Não encontrado,---,---
Condomínio Berbari Residencial Club,Condomínio Berbari Residencial Club,Não encontrado,---,---
Condomínio Jardim das Palmeiras,Condomínio Jardim das Palmeiras,Não encontrado,---,---
Condomínio Jardim Flamboyan,Condomínio Jardim Flamboyan,Não encontrado,---,---
Condomínio Portal da Serra,Condomínio Portal da Serra,Condomínio Portal da Serra,4.82 km,"R$ 13,50"
Condomínio Quinta da Baroneza II,Condomínio Quinta da Baroneza II,Não encontrado,---,---
Condomínio Residencial Campos do Conde,Condomínio Residencial Campos do Conde,Não encontrado,---,---
Condomínio Residencial e Comercial Fazenda Santa Petronilla,Condomínio Residencial e Comercial Fazenda Santa Petronilla,Não encontrado,---,---
Condomínio Residencial Euroville,Condomínio Residencial Euroville,Condominio Vale das Águas,4.63 km,"R$ 13,50"
Condomínio Residencial Euroville II,Condomínio Residencial Euroville II,Condominio Vale das Águas,4.63 km,"R$ 13,50"
Condomínio Residencial Fazenda Santa Helena,Condomínio Residencial Fazenda Santa Helena,Não encontrado,---,---
Condomínio Residencial Mirante de Bragança,Condomínio Residencial Mirante de Bragança,Não encontrado,---,---
Condomínio Residencial Rosário de Fátima,Condomínio Residencial Rosário de Fátima,Não encontrado,---,---
Condomínio Residencial Santa Helena,Condomínio Residencial Santa Helena,Não encontrado,---,---
Condomínio Residencial Sunset Village,Condomínio Residencial Sunset Village,Não encontrado,---,---
Condominio Residencial Vereda América,Condominio Residencial Vereda América,Não encontrado,---,---
Condomínio Residencial Vila América Resort,Condomínio Residencial Vila América Resort,Não encontrado,---,---
Condomínio Residencial Vila Rica,Condomínio Residencial Vila Rica,Não encontrado,---,---
Condomínio Terras de Santa Cruz,Condomínio Terras de Santa Cruz,Não encontrado,---,---
Condomínio Vale das Águas,Condomínio Vale das Águas,Condominio Vale das Águas,4.63 km,"R$ 13,50"
Condomínio Villa Real de Bragança,Condomínio Villa Real de Bragança,Não encontrado,---,---
Condomínio Villa Verde Bragança,Condomínio Villa Verde Bragança,Não encontrado,---,---
Conjunto Habitacional Angelo Magrini Lisa,Conjunto Habitacional Angelo Magrini Lisa,Não encontrado,---,---
Conjunto Habitacional Bragança Paulista F II,Conjunto Habitacional Bragança Paulista F II,Não encontrado,---,---
Conjunto Habitacional Francisco Sabella,Conjunto Habitacional Francisco Sabella,Não encontrado,---,---
Conjunto Habitacional Nova Cidade,Conjunto Habitacional Nova Cidade,Não encontrado,---,---
Conjunto Habitacional Saada Nader Abi Chedid,Conjunto Habitacional Saada Nader Abi Chedid,Não encontrado,---,---
Conjunto Habitacional Vereador Adilson Leitão Xavier,Conjunto Habitacional Vereador Adilson Leitão Xavier,Não encontrado,---,---
Conjunto Residencial Nilo Torres Salema,Conjunto Residencial Nilo Torres Salema,Não encontrado,---,---
Cruzeiro,Cruzeiro,Cruzeiro,1.72 km,"R$ 5,40"
Curitibanos,Curitibanos,Curitibanos,7.59 km,"R$ 21,60"
Estância Bragança,Estância Bragança,Parque Brasil,2.64 km,"R$ 8,10"
Green Park,Green Park,Não encontrado,---,---
Guaripocaba,Guaripocaba,Guaripocaba,10.61 km,"R$ 29,70"
Guaripocaba dos Souzas,Guaripocaba dos Souzas,Não encontrado,---,---
Henedina Cortez,Henedina Cortez,Escola Municipal Dona Henedina Rodrigues Cortez,6.48 km,"R$ 18,90"
Jardim Águas Claras,Jardim Águas Claras,Não encontrado,---,---
Jardim América,Jardim América,Jardim América,1.35 km,"R$ 5,40"
